City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,shindand,33.3029,62.1474,281.77,70,2,1.51,AF,1704396120
351,fort bragg,35.139,-79.006,284.72,42,20,4.92,US,1704396120
352,pimentel,-6.8367,-79.9342,301.31,57,0,8.23,PE,1704396121
353,chonchi,-42.6128,-73.8092,297.28,63,44,2.9,CL,1704396122
354,grootfontein,-19.5667,18.1167,297.91,61,49,1.03,NA,1704396123
355,isafjordur,66.0755,-23.124,272.5,95,93,4.34,IS,1704396124
356,tainan,22.9908,120.2133,291.03,77,75,2.06,TW,1704396124
357,san juan de uraba,8.7592,-76.5297,302.73,70,73,3.17,CO,1704396125
358,chinchilla,-26.75,150.6333,295.94,93,25,0.45,AU,1704396126
359,fereydun kenar,36.6864,52.5225,286.97,72,82,1.3,IR,1704396131
360,caleta de carquin,-11.0925,-77.6267,297.68,76,86,4.58,PE,1704396132
361,nagqu,31.5,92.0,259.31,56,70,1.31,CN,1704396135
362,flying fish cove,-10.4217,105.6791,299.97,89,75,2.57,CX,1704396138
363,fayzabad,37.1166,70.58,280.47,36,100,1.19,AF,1704395887
